Test,Test_Group,Input_Table,Input_ID_Column,Severity,Type,Expression,Test_Vals,Report_Statistic,Test_Description
# Group 1: Model Setup Checks,,,,,,,,,
Environ_vars,1,None,,Fatal,Test,test_val in __import__('os').environ,"MODEL_YEAR,INPUT_FOLDER,OUTPUT_FOLDER,MAX_ITER,ASSIGN_ITER",,Check if environment variables are set
Model_Year_old,1,None,,Warning,Test,int(__import__('os').environ['MODEL_YEAR']) > 2010,,,Warning if model year too old (before 2010)
Maximum_iters,1,None,,Fatal,Test,int(__import__('os').environ['MAX_ITER']) > 0,,,Maximum Iterations set to 0
Assign_iters_zero,1,None,,Fatal,Test,int(__import__('os').environ['ASSIGN_ITER']) > 0,,,Maximum Iterations set to 0
Assign_iters_low,1,None,,Warning,Test,int(__import__('os').environ['ASSIGN_ITER']) >= 100,,,Maximum Iterations set low (below 100)
# Group 2: Pre-Populationsim Checks,,,,,,,,,
#All TAZs in net are in TAZ input file
TAZ_HH_by_size,2,taz_in,,Logical,Test,"all(taz_in['TOTHH_T'] == taz_in[['HHSIZE1', 'HHSIZE2', 'HHSIZE3', 'HHSIZE4', 'HHSIZE5', 'HHSIZE6', 'HHSIZE7']].sum(1))",,,Total HHs = HH by size
TAZ_HH_by_worker,2,taz_in,,Logical,Test,"all(taz_in['TOTHH_T'] == taz_in[['HHWORK0', 'HHWORK1', 'HHWORK2', 'HHWORK3']].sum(1))",,,Total HHs = HH by workers
TAZ_HH_wrk1_share,2,taz_in,,Logical,Test,"all((taz_in['HHWORK1'] / taz_in['TOTHH_T']).fillna(0) <= (taz_in[['HHSIZE1', 'HHSIZE2', 'HHSIZE3', 'HHSIZE4', 'HHSIZE5', 'HHSIZE6', 'HHSIZE7']].sum(1) / taz_in['TOTHH_T']).fillna(0))",,,Share of 1-worker HHs compared to share of HHs by size
TAZ_HH_wrk2_share,2,taz_in,,Logical,Test,"all((taz_in['HHWORK2'] / taz_in['TOTHH_T']).fillna(0) <= (taz_in[['HHSIZE2', 'HHSIZE3', 'HHSIZE4', 'HHSIZE5', 'HHSIZE6', 'HHSIZE7']].sum(1) / taz_in['TOTHH_T']).fillna(0))",,,Share of 2-worker HHs compared to share of HHs by size
TAZ_HH_wrk3_share,2,taz_in,,Logical,Test,"all((taz_in['HHWORK3'] / taz_in['TOTHH_T']).fillna(0) <= (taz_in[['HHSIZE3', 'HHSIZE4', 'HHSIZE5', 'HHSIZE6', 'HHSIZE7']].sum(1) / taz_in['TOTHH_T']).fillna(0))",,,Share of 3p-worker HHs compared to share of HHs by size
TAZ_HH_by_size,2,taz_in,,Logical,Test,"all(taz_in['TOTHH_T'] == taz_in[['CATINC1', 'CATINC2', 'CATINC3']].sum(1))",,,Total HHs = HH by Income
